city;postalCode;street;streetNumber;entityId
Downey;KT83 2QE;82433 West Ukraine Way;262;33
Mason City;PF44 5GI;14912 South Greece Way;908;34
Highland Park;XU65 1MI;65377  Cook Islands Ct.;547;35
Beverly;EK89 5QW;15631  Turkmenistan Ln.;836;36
Grand Forks;DD24 4EB;60890 South Montserrat Blvd.;702;37
Half Moon Bay;SO50 4AV;12488 North Bahamas Ct.;380;38
Farrell;LX91 9BT;26621  Ghana St.;597;39
Sunbury;VT85 8VB;96186  Tonga Way;243;40
Toledo;UZ1 3SF;28919 South Dickinson St.;973;41
Needham;NP43 3VF;61574 North Egypt Blvd.;927;42
Dunkirk;RE60 9KU;76567 North La Cañada Flintridge Blvd.;816;43
Cambridge;DU74 5JL;18691 North Mexico St.;891;44
Ruston;CI61 4HU;34398 North Comoros Ave.;8;45
Charleston;WM87 3TQ;59913 South Burlington Ln.;873;46
Woodward;HO45 8MU;95126  New Caledonia Ct.;36;47
Irvine;LU44 2DF;12775 West Anguilla Ln.;833;48
Hammond;MI90 3IE;13498 West Barbados Way;545;49
Poughkeepsie;JW63 7RQ;73643 North South Georgia and The South Sandwich Islands Blvd.;812;50
South Burlington;TK13 3QL;80494 South Highland Park Way;345;51
Rutland;AQ1 1UG;8558 South Niue Ct.;216;52
Portsmouth;AN5 0SR;82241 West Douglas Way;915;53
Lexington;GE63 5RT;61328 South Burkina Faso Ln.;899;54
Kenner;YC41 7WL;4349 North Nauru St.;94;55
Jackson;FY68 5MD;27459 West Mongolia Ave.;305;56
Sioux City;VN3 3DK;7599 West Dominican Republic St.;255;57
Moline;ZW23 6PL;15484  Comoros Ave.;37;58
Green Bay;GW83 4NH;63828  Fairfield Ave.;388;59
Syracuse;OG47 3CN;15790  Gettysburg Ln.;56;60
Clairton;MU89 1RH;46938 East Cayman Islands Ct.;717;61
Garden Grove;UZ9 3TB;19700 North Pawtucket Blvd.;436;62
Greensburg;IW52 2HU;97216 West Poland Ln.;960;63
Wichita;JM52 2LL;89166  Dominica Ave.;517;64
Signal Hill;XG43 1WI;27688 South Fort Collins Ln.;748;65
Billings;TL23 9HF;6860 South Fresno Blvd.;499;66
Alhambra;MK24 9EK;92294 North Hazleton Ln.;763;67
South El Monte;QC28 8AX;67386 South Bulgaria Blvd.;638;68
Benton Harbor;NT40 5YO;81886 South Hutchinson Ln.;270;69
Cape Coral;AO14 2UO;19445 North Myrtle Beach Ln.;228;70
Pomona;II92 9KV;39992 South Armenia St.;199;71
Hazleton;RS49 8ZY;36314 East Bouvet Island Ln.;424;72
Placentia;SE97 4HA;56191 West Fontana Ln.;280;73
Muskogee;OM17 3RL;63375 West British Indian Ocean Territory Blvd.;789;74
Cruz Bay;TM71 3ZL;31255 North Gambia Ave.;187;75
Utica;DT67 2AC;34489 South Colombia Ct.;862;76
Indianapolis;LT69 8DM;56759 South Australia Ave.;891;77
Frankfort;CG25 9JS;3615 West Derby St.;320;78
Prescott;NW22 6LO;70861 South Poland Way;204;79
Davis;QJ64 4YV;2940  Somalia Ct.;354;80
Santa Clarita;LB8 9KX;42082 North Guinea-bissau St.;662;81
La Crosse;KK90 8DB;47676 East Highland Park Blvd.;986;82
Virginia Beach;EL78 2XK;27277 North Albania Blvd.;826;83
Liberal;BX74 6HM;75354 West Heard Island and Mcdonald Islands St.;281;84
Dunkirk;ZB30 0AG;96742 North Seychelles Ct.;494;85
Texarkana;SI81 7LB;76993  Aruba Ct.;720;86
Mesquite;WU26 6AZ;5945 West Brunei Darussalam Way;46;87
Riverside;PT28 9TN;83663 North Avalon Ct.;262;88
Laredo;YK9 2US;38175 South Albania Way;974;89
Parkersburg;AS61 3OX;5850 East Dominica Blvd.;669;90
Pomona;VW90 1BB;23333 South Bristol Way;236;91
Peru;BE86 0XJ;44036 North Chad St.;576;92
Galveston;SD18 1ZW;78633 North Montserrat Way;856;93
New Brunswick;SM20 9SC;47805 East Ghana Blvd.;601;94
Radford;IY27 7FC;76583 North Fairmont Ln.;653;95
Monterey;OJ97 5ON;6008 West Canada St.;643;96
Hannibal;YW19 6IX;21513 West Dixon Ct.;892;97
Guthrie;YN38 0DD;94605 West Equatorial Guinea Way;209;98
Hawaiian Gardens;WZ82 5GZ;39887 North Rwanda Ave.;190;99
