city;postalCode;street;streetNumber
High Point;BS79 5SR;20913 East Caguas Blvd.;849
Lansing;HS47 5DV;79613 East Colombia Way;458
Grand Island;JF14 0EU;36616  Zambia Blvd.;164
Orangeburg;RY10 4TL;83183 West French Southern Territories Ln.;91
Signal Hill;PJ20 2GV;16581 North Romania Ct.;356
Sioux Falls;GI75 6JB;70911 West Ogden Ct.;30
Covina;CN84 7IG;94558 North Portsmouth Ct.;133
Florence;IC41 2BM;21876  Cypress Way;333
East Hartford;GO91 9FE;27110 East East Rutherford St.;784
South Pasadena;ID51 2IN;22530 North United States Minor Outlying Islands Ct.;697
East Lansing;ZS81 2IA;54171 South Vanuatu St.;860
Pocatello;EB97 8CA;42284 South China Ave.;877
Somerville;BD29 0OS;16459 West Antigua and Barbuda Ave.;864
Aguadilla;EB94 9LS;3388 East Hazleton Blvd.;411
Boulder;IE27 7IS;8029  DuBois Blvd.;192
Benton Harbor;XM95 8HC;65278 West Ada Blvd.;583
Scranton;JS55 7AT;67519 West Georgia Ave.;973
Brown Deer;RH62 0EG;88136 South Barbados St.;319
Long Beach;UO82 2MX;68727  Bouvet Island Ave.;519
Biddeford;WS24 9FZ;68723 North Pakistan Ln.;798
Elko;IS16 8YB;66565 South Antigua and Barbuda St.;544
Monterey;IM90 9KY;70382 South Morocco Ln.;726
Hampton;BQ31 1AD;4954 North Chelsea Ct.;355
Darlington;CX31 2XT;40813 North Gibraltar Way;954
Davenport;DA55 4CG;86692 West Armenia Ave.;324
Fairfax;DJ75 9VY;19119 North Martinique St.;659
Crown Point;DJ96 2DC;59722 South Lebanon Ln.;171
Ogden;PA34 5MF;90756 West China Ln.;377
Mount Pleasant;NK89 6ZP;33484 West Albania St.;931
Isle of Palms;QO84 4FS;34655 South San Marino Blvd.;550
Boston;MR67 9LZ;30779  Belize Ave.;388
Sioux Falls;CU48 9OE;95640 North Michigan City St.;548
Valdez;YM32 0QN;21110 West Dalton Way;410
Hilo;DM65 9EG;2732  Nepal Way;591
Pulaski;NK46 6VC;28661 North Austria Way;151
McAllen;FF92 0WE;36222 South Buffalo Ln.;255
Plattsburgh;ZG38 4IV;20944 North Algeria Blvd.;571
Scottsdale;NV76 4IG;6605  Cape Verde Ct.;861
Del Rio;FD2 9KK;86520 North Cyprus Blvd.;341
Gaithersburg;NV1 0HA;86880 South Cambodia Ln.;188
Peoria;JE99 4RJ;55862 East Reunion Ln.;774
San Bernardino;PE80 9DL;42769 West Highland Park Ave.;201
Paducah;VC77 6GR;79903 East Eritrea Ave.;687
Lawndale;FI34 0ML;26813 East Austria Ct.;852
Lahaina;US74 5PY;23463 East Algeria Way;73
Kokomo;KT0 3JA;4547 West Brunei Darussalam Blvd.;458
Farmer City;RF44 7HX;87881 East Tokelau Ave.;135
Grass Valley;FE10 0CZ;92071 East Aruba Ln.;537
Grambling;JG2 7RE;9692  Bellingham St.;929
Roanoke;EZ55 0VA;67082  Botswana Ave.;396
Athens;AD95 5SQ;76842 West Burlington Way;462
Gettysburg;DD84 7VC;78214 South Japan Blvd.;646
Beaumont;SU97 1RL;90063  Norfolk Island Ln.;521
Myrtle Beach;PX67 6GP;18963 West Philippines Way;991
Temecula;JN83 4WB;87553 South Chile Ave.;71
Signal Hill;BU19 5PX;83561 East Flagstaff Blvd.;235
Pittsburgh;GC52 1EC;31153  Comoros Ave.;35
Dubuque;CY61 5EL;34727  Belize Ln.;576
Broken Arrow;RR80 0IQ;22554 North Covington Ave.;473
Grand Island;LN61 3JO;3628 East Chelsea St.;254
Brunswick;VG58 8GH;88416 South France Ln.;10
Liberal;YD14 2EF;93326 South Bermuda Ln.;509
Marlborough;BH47 0LL;27199 North Niger Ct.;647
Chester;EG57 1YL;13602 North Cook Islands St.;687
Birmingham;TQ92 5UB;967 West Comoros Blvd.;358
Pierre;RJ27 9HM;18514 West Belarus Ln.;735
Isle of Palms;CI55 6WC;2273 East Beacon Blvd.;184
Las Vegas;JC33 8KI;81934 North Algeria St.;311
Henderson;KJ0 1ZT;46209 West Chickasha Blvd.;867
Jeannette;GC91 7BC;88014  Ethiopia St.;105
Kona;NB97 1ZH;9993  Denver Blvd.;219
Morgantown;RG50 1DV;61756  Saint Vincent and The Grenadines St.;827
Pomona;IM40 1FH;60743 East Malibu Way;229
Haverhill;FX21 0LQ;60854 East Haiti Blvd.;573
Newark;ZP59 3PR;57589 East Hong Kong Way;869
Lynn;TN66 6OP;22910 South Azerbaijan Ave.;422
Connellsville;DJ16 8MO;75548 East Bahamas Ct.;794
Altoona;PL24 9DU;11351 South Macao Ct.;399
Fairfax;OP45 2WB;31223  Slovenia Ln.;802
Fayetteville;CN38 7JQ;65782 South Congo Ave.;470
Sunnyvale;BO75 5BI;87145 South Azerbaijan Ct.;735
Waterloo;KI45 1KU;44615 East Milwaukee Ave.;434
Morgantown;BG6 9GB;17347 West La Habra Heights Ln.;569
Cairo;PJ73 7UD;85320 South Poland Ave.;722
Rawlins;IQ58 9UF;68596 North Atwater Way;931
Beckley;BL51 6AO;57032  Cook Islands Ct.;607
Henderson;XR26 2TU;17199  Chad Blvd.;821
South El Monte;OU39 3ML;99843 North Anguilla Ct.;120
Kettering;BT35 2XS;91569  Passaic Ct.;96
Toledo;KY51 3JZ;19908 South McKeesport Way;318
Evansville;PQ69 4HC;78936 West China Ln.;1
Laramie;SB70 7OB;66750 North Brooklyn Park Ct.;54
Vineland;WK18 3BN;81992 East Netherlands Blvd.;590
Kearney;VY58 1KQ;89475 South United Kingdom Blvd.;752
Beverly;IA25 9YD;87339 North Liberia Way;219
Gary;AX96 5TM;58795 North Turks and Caicos Islands Way;652
Port St. Lucie;VG97 4UX;75779  Italy Ct.;203
Kemmerer;JU48 1MA;51115 North Niue Blvd.;977
Abilene;GN22 0NL;46717 North Carson Ave.;486
Natchez;MP8 9GF;98484  Laurel Blvd.;679
Artesia;TQ88 5TJ;76521 South El Salvador Ave.;741
New York;QE69 4GK;76698 South Nigeria Ct.;568
Tyler;HB16 4QY;94892 North Australia Blvd.;528
Eureka;OI65 5BE;16820 South Milwaukee Ave.;443
Danbury;SL55 1DK;51238  Antarctica Ln.;22
Murray;CP89 7XR;40728 South American Samoa Way;850
High Point;QH32 9GX;78519 North Forrest City Way;649
La Jolla;YS62 9MJ;57667 North Brunei Darussalam Blvd.;276
Houston;CA23 1ZZ;26627 North Brea St.;593
La Cañada Flintridge;MV74 9TL;89293 East Swaziland Ave.;702
Placentia;DN99 7QS;93945 North Jamaica Ct.;363
Yakima;YT44 9FY;88765 South Cleveland Ct.;327
Fountain Valley;CA28 8HR;12522  Argentina Way;943
Plattsburgh;LN28 2UL;85341 West Lesotho St.;194
Hornell;NS85 9GQ;54991 West Barbados Ln.;557
Livonia;RG21 5GX;83713 North Bossier City St.;856
Virginia Beach;GE41 2PK;41183  Chad Ct.;631
Bellingham;FB51 3HO;94070 South Bhutan Ct.;936
Richmond;PZ89 2JH;2732  Honduras Ct.;449
Nashville;YY21 4NM;72733 North Mozambique Ln.;721
Marshall;AM47 3ZO;33538 West Guyana Way;325
Eatontown;DC46 5FU;90314 South Benin Blvd.;885
Fort Lauderdale;AV0 4NN;79305 South Guayanilla Ave.;498
Morrison;LV46 0PH;23752 West Algeria Way;16
Plattsburgh;XJ7 9WK;95582 North Pitcairn St.;624
Lomita;MF95 6OS;72370 West Slovakia Ct.;110
Beacon;DG78 5JM;73574 North El Salvador Ln.;704
Chickasha;TS71 5TL;44300 East Burundi Way;146
Plattsburgh;BC96 8YK;38854  Mesa Ct.;749
Jamestown;XE58 7BY;41961 East Claremore St.;87
Odessa;CT33 6IM;13332 East Portugal Ave.;219
Powell;YN89 3GA;67740 East East Lansing Ln.;4
Champaign;ED13 7PN;81101 West United Arab Emirates Ave.;486
North Little Rock;MK6 7AI;16725 North French Polynesia Ln.;840
Idaho Falls;PB77 2AP;24634 East Lithuania Ave.;588
Henderson;SA52 7PO;97644 North Newark Blvd.;494
Brooklyn Park;LQ54 9PT;8614  Uruguay Blvd.;461
Muskegon;WT49 9HV;43399 West Christmas Island St.;441
Idaho Springs;TG2 3HT;42298  Connellsville Ave.;482
Joplin;ZA63 2EY;4529 North Duarte Ave.;771
Anaconda;AZ99 1HA;80458 West Muskogee Blvd.;226
Oswego;JI2 4YP;69808 North Florence St.;828
Mesquite;FE21 4QT;92093  Venezuela Way;752
Shelton;BU36 5BG;97014 North Guinea Blvd.;390
Calumet City;BW31 5IV;90451 North Irwindale St.;239
Spokane;HL45 2NO;83711 East Charlotte Amalie Blvd.;38
East Lansing;DX62 6AT;64262 South Canada Ct.;790
Minot;OZ15 6OT;1882  Anguilla Ln.;851
Woodward;JD6 7PP;28815 North Bellingham Ln.;476
Selma;PA36 7QG;10566 East American Samoa Ave.;603
Provo;OW58 4HQ;50139 North Argentina Ave.;465
Fond du Lac;AA13 4VT;93006  Macedonia Ave.;785
Danbury;CZ61 5PQ;44175 North Commerce Blvd.;239
Green River;VY93 7PV;54493 North Virgin Islands;679
Lubbock;QI63 4PJ;32631 East Armenia Way;641
Louisville;QP46 2TD;60937  New Zealand Ave.;190
La Verne;MQ43 5ZS;63701 West Puerto Rico St.;626
Idaho Falls;AP28 4TJ;43705 North Greenfield Ct.;597
Fernley;YA57 0HK;72073  Mozambique Blvd.;793
Nashua;RP88 4NK;89697 East Chile Ln.;947
Hermitage;LJ92 7EI;89137 West Madagascar Ct.;411
Melrose;HK92 3ZW;8449 East Costa Rica Blvd.;833
Murray;LG85 3JU;70450 East Comoros Ln.;397
Laconia;ML21 2LF;15795 North Comoros Ln.;951
Harrisburg;HL4 6SY;92799 North Anguilla Way;471
Dodge City;DD7 9IF;25058  Cheyenne St.;672
Reading;XK78 2MJ;1108 North Charleston Ln.;9
Augusta;XH90 4KN;66267 South Apple Valley St.;369
Brown Deer;VO91 0BY;12830 West Sao Tome and Principe Ct.;744
Miami;NB91 5PG;24074 East Cape May Blvd.;777
Houma;XY20 5OC;35506  Healdsburg Way;634
Rancho Cucamonga;WZ4 1NC;92901 West Athens Blvd.;699
Abilene;LN25 8JA;93947  Pakistan Ct.;35
Rome;DG13 1MO;27871 South United Arab Emirates Ave.;308
Lander;KL72 4TI;78296 South Bermuda Ln.;492
Maywood;MR45 2QR;8229 East Korea Ave.;713
Tempe;EX4 1VS;41582 North Alameda Ct.;699
Phoenix;ME61 3HN;91874 East Afghanistan Blvd.;878
Fremont;FL9 4GW;96984 North Finland Ct.;176
Topeka;LQ32 2GA;56672 South Benin Blvd.;349
Appleton;GQ38 2DJ;20992 South Aruba Way;614
Brookings;CR59 9HM;3195 East Antigua and Barbuda Ct.;994
Claremont;LR21 5OZ;49331 North Niger Ct.;23
Nenana;WF70 9LG;88447  Senegal Blvd.;210
Grand Rapids;HQ65 9RH;8108 West Guyana St.;435
Merced;ZC36 9MF;24594 West Council Bluffs Ln.;679
Union City;XS98 5RZ;97010  Cheyenne Ct.;540
Warren;IY45 9JH;47902 South Comoros Blvd.;815
Champaign;TJ14 5AN;39883 North New Zealand Ln.;332
Beloit;MV97 4VH;37485  Georgia Ct.;829
Winooski;UY56 8HX;19073  Marshall Islands Ln.;390
Nacogdoches;GO81 9RE;80789 West Brunei Darussalam Blvd.;536
Boston;IJ55 9GT;52987 East Haiti Ln.;850
Auburn;TX19 3PG;95331 East Albania St.;881
Memphis;PC79 9ER;77490  Canada Way;116
Jeffersontown;TB78 4ZI;47184 East Diamond Bar Ct.;971
Peru;IM67 4EV;8583 North Saint Kitts and Nevis Blvd.;138
Concord;VV74 0RY;66488 East Italy Ct.;431
Attleboro;FG2 0CG;1486  Madagascar Ln.;635
Muskogee;FE2 5WI;32750 East Glens Falls St.;715
New Rochelle;EU36 3PI;68894 North Ithaca Ln.;696
Hoboken;AU44 8PQ;84775 South French Southern Territories Blvd.;979
Normal;BQ12 2XU;11781 North Billings Ln.;193
Erie;GN14 8EN;39038  United States Ave.;713
Gallup;SP86 3IM;19382 West Heard Island and Mcdonald Islands St.;280
Slidell;NZ20 6DA;84580 South Congo Ct.;62
Hoboken;WI35 9PZ;54711 West Dalton Blvd.;787
Jeffersontown;YC15 8RE;60708 North Eritrea Ave.;926
Bowie;JU26 3AC;46649 West Bosnia and Herzegovina St.;5
Taunton;DI69 3HB;58837 West Zambia St.;326
Rolling Hills Estates;LP10 5HE;61944  Antarctica Ct.;847
Coral Springs;AC59 5FC;94699 West Indonesia St.;924
Rockville;IV44 4SW;11788 South Clairton Ln.;583
Rancho Palos Verdes;KB68 7YW;73011 East Antigua and Barbuda Ave.;267
Roseville;FA51 0LF;63780 West Jackson Ct.;697
Stockton;YL80 9YH;84525 North Bangladesh St.;137
Powell;HF91 5ZN;16352 South Saint Vincent and The Grenadines Way;522
Ann Arbor;HQ37 3QK;8614 West Hong Kong Ln.;998
Moreno Valley;UY11 2HC;61335  Singapore St.;60
Redlands;IV1 1OP;85315 South El Cerrito Blvd.;232
Bell;TW88 5UZ;3208 East Malawi Way;133
York;ID61 0QP;5435 West Ukraine Ln.;882
Aberdeen;BX45 0JK;27074  South Georgia and The South Sandwich Islands Ave.;963
Laguna Beach;SC81 4WR;17514 East Korea;744
Liberal;BM82 2GX;76643  Canada Ln.;91
Brockton;IZ0 6NH;82955 West Algeria Way;303
Waco;KV38 6IW;2221 West British Indian Ocean Territory St.;469
Peabody;OM11 3XI;47703 East Kuwait Ln.;626
Bristol;UB19 0VU;72034 East Azerbaijan Way;229
San Antonio;GB13 1IU;94084 South Oshkosh Blvd.;441
Abilene;QX10 9PS;95437 North Brunei Darussalam Blvd.;361
Somersworth;NV16 6HW;54039 East Lake Charles Way;601
South Burlington;XK46 5HP;80113 North Fontana Blvd.;325
Egg Harbor;HH82 5VK;93837 North Cape Verde St.;201
Alhambra;QS66 4KW;94549 West Kazakhstan Ave.;770
Newport;OM8 1CF;42777 East Botswana St.;994
Calabasas;SC71 3YU;57639 South Cocos (Keeling) Islands Blvd.;101
Concord;PN59 3JW;34824 South Cuba Ave.;280
Hayward;PI96 0JQ;57963  Iraq Blvd.;876
Louisville;YG17 9IJ;75088 East Kenner Ln.;385
Pass Christian;SH93 5KP;10443 South Syrian Arab Republic Way;817
Durant;RC56 4AB;53975  Bulgaria Way;501
Edmond;SL32 9GK;30268 East Anguilla Blvd.;599
Ashland;YW52 5PL;80367 East Montserrat Ln.;114
Hilo;UI99 5ZI;92870 North Botswana Way;417
Connellsville;YH74 5CR;33532  Gabon Ct.;754
Wichita Falls;ER59 0YQ;44508  Chad Way;922
Scottsbluff;PU78 8ZP;12258 East Pakistan Ct.;452
Easton;KF34 9ZU;22457 South Papua New Guinea Blvd.;689
Statesboro;SX14 1BI;98182 South Cook Islands Ln.;401
Phoenix;RT5 5IE;98992 North Cameroon Ave.;127
Lawrenceville;WE13 7TL;96234 North Luxembourg Blvd.;265
East St. Louis;PT64 9BG;311  Costa Rica Ct.;15
Long Beach;MJ74 6SP;56537 North New Rochelle Ln.;272
Parma;PY43 2VO;35359 South Trinidad and Tobago Ave.;499
San Mateo;LJ9 9RH;77536 East Falls Church Ave.;741
Lawton;WQ60 6NV;20912 South Deadwood Ct.;778
Paducah;EF59 7VX;67753 East Chile Ave.;153
Greenville;TF3 0XS;90314 East City of Industry Ct.;206
Hawthorne;FM90 0AD;51668  Nauru St.;598
Torrance;EZ53 1BG;75992  Nanticoke Ave.;317
Calabasas;TZ83 3CN;33742  Guayama Ln.;569
Littleton;SJ29 9YZ;24418  Falkland Islands (Malvinas) Ln.;982
Auburn Hills;CJ20 8HF;41829  Fullerton Ln.;147
LaGrange;YS63 6NS;96781  Botswana Ave.;349
Escondido;NK21 8FG;87400 East Lesotho St.;419
Woodruff;XC39 4OA;38141 North Suriname Ave.;455
Frederiksted;AA28 5EN;81538 North India St.;785
Vermillion;MN85 3AO;84639 North Papua New Guinea Ln.;454
Winnemucca;LV63 8UO;54762 South Hidden Hills Ln.;531
Garland;TB56 5XR;40573 North Lebanon Ln.;52
Beverly Hills;GD19 3MC;64348 South Clarksville Ln.;674
Cheyenne;MB5 8ZR;49975 South Coatesville Ct.;317
New Haven;YS70 9YD;67984 West Madagascar Ave.;949
Nashua;GP82 7NA;8039  Brazil St.;454
Wausau;SH22 8DW;16296 West Anguilla Way;919
Santa Fe;ZL10 7MK;53265 West Bristol Ln.;74
East St. Louis;LH54 5UA;93331  Cheyenne Ave.;389
Houston;EM12 9UG;29791  Mesquite Way;544
Asheville;UZ57 5TE;95652 West Biloxi St.;186
Richmond;NI36 8BG;6097 East Saint Pierre and Miquelon Way;868
Rensselaer;IY33 7WA;79162 East Grenada Blvd.;430
Belpre;WQ37 7AJ;65293  Bulgaria Ave.;283
Augusta;PM2 2PC;76092  Fitchburg Ln.;46
Oklahoma City;PK45 7CW;5696  El Cerrito Ave.;47
Caguas;SH94 3DL;130 East Alexandria Way;698
Perth Amboy;OT91 5HZ;80735  Costa Rica St.;315
St. Petersburg;DR83 7HF;25725 East Norway Ct.;278
Cruz Bay;VA96 0LD;3623 East Brazil Ln.;870
Gulfport;QW71 0QG;34023 East El Monte Way;812
Mesa;RF88 4FT;76607  Albania Ln.;946
Saint Cloud;YJ97 0DD;52857 South Brockton Ct.;639
Newark;RD46 1NW;523 West Botswana Ct.;385
East Rutherford;XN74 0CA;58570 North Algeria Blvd.;370
Lynwood;ES61 9FY;61054 South Iceland Ln.;21
Attleboro;YG46 3MF;59595 North Bossier City Way;647
West Bend;MH9 5RD;11333 West Manassas Way;290
Cape Coral;ZC66 9QI;68927 South Aruba Ave.;588
Clearwater;DJ57 0FP;50832 East Ukraine Ct.;310
West Springfield;OL34 1ZM;99851 West Bandera Ct.;363
Bessemer;SV95 4QJ;56119 South Thailand Ave.;97
Pico Rivera;CY63 7TI;8095 North Algeria Ln.;59
Bentonville;CI9 8LI;71781 East Pitcairn Ct.;849
Dalton;PZ74 5XY;96989 West Auburn Ave.;91
Easton;KG56 6KQ;15347 East Chile St.;884
Dothan;IY42 2XT;53082 East Peru Ct.;343
La Cañada Flintridge;QP41 2ER;13191 West Aruba Ln.;188
Hartford;GJ74 7WZ;34175 North Hilo Way;594
Attleboro;IV52 4UF;40852 South Kenya Blvd.;405
Sutter Creek;VJ5 6GO;74526  Cayman Islands Ct.;957
Bridgeport;EH30 6KE;71898 West Mount Vernon Ln.;940
Milwaukee;JX54 4NF;60476  La Habra Heights St.;735
Chicago;WN3 6DD;8906 North Brunei Darussalam Blvd.;830
Lincoln;XJ56 4WW;64956  Anguilla St.;725
Waterloo;VK10 1GY;51203 North Aspen Ct.;523
Vermillion;BU70 6HO;96664 North Equatorial Guinea St.;998
