city;postalCode;street;streetNumber
Coatesville;DB35 5RB;72059 East Jordan Way;762
West Bend;YU62 4FE;33221 North Luxembourg Blvd.;685
Easton;WL76 9YU;61754 North Algeria Way;589
Poughkeepsie;LP76 6NL;67919 North American Samoa Blvd.;136
Enfield;YO68 7AE;30482  Nepal Way;283
Omaha;IK13 8MW;33298 East Barrow Blvd.;303
Aspen;DT77 6BQ;11824 East Burundi Ln.;875
Visalia;VD40 8NS;18887 North Gabon Ct.;998
El Segundo;ZJ2 0NQ;18998 East Trinidad and Tobago Ln.;701
Ada;KZ43 1HW;47594 South Henderson Blvd.;945
Jersey City;NN73 6HQ;91622 West Honduras Way;860
Monrovia;VM28 3IT;27045 West Bulgaria Blvd.;386
Saint Albans;YK19 8FB;9897 West Sri Lanka Way;758
Richmond;XT87 1IT;66979 South Netherlands Blvd.;753
Nanticoke;UZ62 1HX;9131 South Congo Ave.;791
Lancaster;JR45 9PQ;88646 North Algeria Ct.;54
Richmond;BK46 1DN;72676 East Azerbaijan Ln.;611
Prescott;FT43 7KH;12989  Belize Ln.;831
Murrieta;FC40 5CT;23324  Bulgaria Ave.;497
Douglas;WI50 7EL;93662  Comoros St.;141
Mesquite;FI60 0RW;3528 East Libyan Arab Jamahiriya Ln.;139
South Gate;WE75 7UK;78920 South Grand Rapids Ln.;944
Utica;TF79 0ZA;72272 East Bahamas St.;799
Dana Point;QV0 3DW;94194  Danbury Ave.;631
Laredo;NK24 1VB;42544 North Cypress Way;782
Cape Coral;TH70 7ON;32303  Kenya Blvd.;93
Stanton;SH59 2SA;43846 South Spain Ln.;778
Chino;WD81 3AG;99272  Indonesia Blvd.;840
Clairton;OZ33 9LZ;15297 South Benin Ave.;328
Ada;GX53 1KU;88689  Bouvet Island Blvd.;759
Eufaula;FE82 5YI;82430 West United States Blvd.;963
Lexington;IJ71 3FM;2101 North Zimbabwe Blvd.;81
Palos Verdes Estates;ZL29 3MZ;22050  Costa Rica Ln.;647
Fayetteville;JS93 2KN;18249 North Costa Rica St.;574
Murrieta;MZ95 0LO;84101 West Belarus Blvd.;590
Arvada;TO8 0IB;21859 North Moldova Ct.;292
Montpelier;NF40 3TS;19669 West Antigua and Barbuda Way;243
Reno;VY38 6PK;61200 West Jordan Way;855
Asbury Park;XN73 5TB;9776 South Kenya Ave.;566
Jordan Valley;CP29 3QN;41633 East Martinique Ln.;967
Needham;HG61 5YF;61357 East Passaic Ln.;366
Valparaiso;KH66 6HS;52122 North Tanzania;787
Dayton;TK26 9HA;94065 East Niger Way;870
Riverton;NC97 2CU;46951 West South Africa Ct.;254
Boise;FO91 2ME;93422  Del Rio St.;902
Manassas Park;WF62 3WU;29630 West Mayotte Way;148
Rancho Palos Verdes;DH3 1VI;4220 South Derby Ln.;974
Highland Park;ZB69 9UH;2957  French Southern Territories St.;665
Modesto;DN90 9JF;62525 West Christmas Island St.;767
Chelsea;AM12 3FU;68974 North Hazleton Blvd.;50
Ann Arbor;BE46 1JO;31571 North Pitcairn Ln.;734
Billings;JD69 3PI;94753 West Romania St.;680
Forest Lake;CU6 6LO;948  Chile St.;594
San Angelo;SW31 5MP;95533 South Tuvalu Way;547
